specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
expanding,87,2707658,0,1.0,2013,861,626,2930,0.4277198211624441,0.727061556329849
expanding,87,2707658,1,0.0,75,6,6,86,0.08,1.0
expanding,87,2707658,1,1.0,86,17,13,342,0.19767441860465115,0.7647058823529411
rolling_7d,87,2707658,0,0.0,19660,5240,317,20846,0.26653102746693796,0.06049618320610687
rolling_7d,87,2707658,0,1.0,1678,783,597,2544,0.466626936829559,0.7624521072796935
rolling_7d,87,2707658,1,0.0,93,10,8,107,0.10752688172043011,0.8
rolling_7d,87,2707658,1,1.0,68,13,11,321,0.19117647058823528,0.8461538461538461
expanding,87,2707659,0,0.0,4245,172,94,4405,0.04051825677267373,0.5465116279069767
expanding,87,2707659,0,1.0,1066,517,394,1628,0.4849906191369606,0.7620889748549323
expanding,87,2707659,1,0.0,5,0,0,6,0.0,
expanding,87,2707659,1,1.0,6,0,0,12,0.0,
rolling_7d,87,2707659,0,0.0,4318,178,97,4481,0.041222788327929596,0.5449438202247191
rolling_7d,87,2707659,0,1.0,993,511,391,1552,0.5146022155085599,0.7651663405088063
rolling_7d,87,2707659,1,0.0,5,0,0,6,0.0,
rolling_7d,87,2707659,1,1.0,6,0,0,12,0.0,
expanding,87,2707660,0,0.0,7645,763,153,8027,0.09980379332897318,0.20052424639580602
expanding,87,2707660,0,1.0,1981,876,638,2904,0.44220090863200406,0.728310502283105
expanding,87,2707660,1,0.0,5,0,0,5,0.0,
expanding,87,2707660,1,1.0,50,4,4,81,0.08,1.0
rolling_7d,87,2707660,0,0.0,7842,793,172,8332,0.10112216271359348,0.21689785624211855
rolling_7d,87,2707660,0,1.0,1784,846,619,2599,0.4742152466367713,0.7316784869976359
rolling_7d,87,2707660,1,0.0,11,1,1,14,0.09090909090909091,1.0
rolling_7d,87,2707660,1,1.0,44,3,3,72,0.06818181818181818,1.0
expanding,79,2718892,0,0.0,9470,389,236,9913,0.04107708553326293,0.6066838046272494
expanding,79,2718892,0,1.0,1276,614,431,3482,0.48119122257053293,0.7019543973941368
expanding,79,2718892,1,0.0,20,0,0,26,0.0,
expanding,79,2718892,1,1.0,66,9,4,2440,0.13636363636363635,0.4444444444444444
rolling_7d,79,2718892,0,0.0,9750,428,259,10231,0.043897435897435895,0.6051401869158879
rolling_7d,79,2718892,0,1.0,996,575,408,3164,0.5773092369477911,0.7095652173913043
rolling_7d,79,2718892,1,0.0,29,1,0,36,0.034482758620689655,0.0
rolling_7d,79,2718892,1,1.0,57,8,4,2430,0.14035087719298245,0.5
expanding,79,2718893,0,0.0,2942,88,55,3019,0.02991162474507138,0.625
expanding,79,2718893,0,1.0,544,263,183,987,0.4834558823529412,0.6958174904942965
expanding,79,2718893,1,0.0,12,9,9,31,0.75,1.0
expanding,79,2718893,1,1.0,16,0,0,19,0.0,
rolling_7d,79,2718893,0,0.0,3036,96,60,3120,0.03162055335968379,0.625
rolling_7d,79,2718893,0,1.0,450,255,178,886,0.5666666666666667,0.6980392156862745
rolling_7d,79,2718893,1,0.0,12,9,9,31,0.75,1.0
rolling_7d,79,2718893,1,1.0,16,0,0,19,0.0,
expanding,79,2718894,0,0.0,3481,116,62,3686,0.03332375754093651,0.5344827586206896
expanding,79,2718894,0,1.0,610,279,192,908,0.45737704918032784,0.6881720430107527
expanding,79,2718894,1,0.0,5,0,0,6,0.0,
expanding,79,2718894,1,1.0,18,0,0,29,0.0,
rolling_7d,79,2718894,0,0.0,3574,131,67,3801,0.036653609401231114,0.5114503816793893
rolling_7d,79,2718894,0,1.0,517,264,187,793,0.5106382978723404,0.7083333333333334
rolling_7d,79,2718894,1,0.0,6,0,0,7,0.0,
rolling_7d,79,2718894,1,1.0,17,0,0,28,0.0,
expanding,80,2718900,0,0.0,9815,693,220,10192,0.0706062149770759,0.31746031746031744
expanding,80,2718900,0,1.0,1332,637,441,2877,0.47822822822822825,0.6923076923076923
expanding,80,2718900,1,0.0,25,3,3,25,0.12,1.0
expanding,80,2718900,1,1.0,36,5,4,154,0.1388888888888889,0.8
rolling_7d,80,2718900,0,0.0,10169,776,287,10595,0.07631035500049169,0.3698453608247423
rolling_7d,80,2718900,0,1.0,978,554,374,2474,0.5664621676891616,0.6750902527075813
rolling_7d,80,2718900,1,0.0,31,3,3,31,0.0967741935483871,1.0
rolling_7d,80,2718900,1,1.0,30,5,4,148,0.16666666666666666,0.8
expanding,80,2718902,0,0.0,2573,166,28,2619,0.06451612903225806,0.1686746987951807
expanding,80,2718902,0,1.0,383,214,165,632,0.5587467362924282,0.7710280373831776
expanding,80,2718902,1,0.0,7,1,0,7,0.14285714285714285,0.0
expanding,80,2718902,1,1.0,12,0,0,15,0.0,
rolling_7d,80,2718902,0,0.0,2627,166,28,2673,0.06318995051389417,0.1686746987951807
rolling_7d,80,2718902,0,1.0,329,214,165,578,0.6504559270516718,0.7710280373831776
