classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,14,1897075,0,0,2649,103,57,3003,0.038882597206493015,0.5533980582524272
whale_volume,expanding_top1_primary,14,1897075,0,1,500,266,171,826,0.532,0.6428571428571429
whale_volume,expanding_top1_primary,14,1897075,1,0,6,0,0,6,0.0,
whale_volume,expanding_top1_primary,14,1897075,1,1,23,4,2,32,0.17391304347826086,0.5
whale_volume,expanding_top1_primary,15,1897076,0,0,3348,132,75,3467,0.03942652329749104,0.5681818181818182
whale_volume,expanding_top1_primary,15,1897076,0,1,587,312,217,919,0.5315161839863713,0.6955128205128205
whale_volume,expanding_top1_primary,15,1897076,1,0,7,0,0,10,0.0,
whale_volume,expanding_top1_primary,15,1897076,1,1,18,1,0,26,0.05555555555555555,0.0
whale_volume,expanding_top1_primary,15,1897077,0,0,2520,102,70,2696,0.04047619047619048,0.6862745098039216
whale_volume,expanding_top1_primary,15,1897077,0,1,521,270,194,1145,0.5182341650671785,0.7185185185185186
whale_volume,expanding_top1_primary,15,1897077,1,0,10,0,0,38,0.0,
whale_volume,expanding_top1_primary,15,1897077,1,1,21,6,6,40,0.2857142857142857,1.0
whale_volume,expanding_top1_primary,15,1897078,0,0,6243,308,173,6990,0.04933525548614448,0.5616883116883117
whale_volume,expanding_top1_primary,15,1897078,0,1,986,526,370,1694,0.5334685598377282,0.7034220532319392
whale_volume,expanding_top1_primary,15,1897078,1,0,21,1,1,57,0.047619047619047616,1.0
whale_volume,expanding_top1_primary,15,1897078,1,1,44,9,7,191,0.20454545454545456,0.7777777777777778
whale_volume,expanding_top1_primary,16,1897079,0,0,7042,394,237,7972,0.05595001420051122,0.6015228426395939
whale_volume,expanding_top1_primary,16,1897079,0,1,1381,794,540,2730,0.5749456915278783,0.6801007556675063
whale_volume,expanding_top1_primary,16,1897079,1,0,18,0,0,19,0.0,
whale_volume,expanding_top1_primary,16,1897079,1,1,51,14,13,200,0.27450980392156865,0.9285714285714286
whale_volume,expanding_top1_primary,16,1897080,0,0,2555,113,58,2685,0.04422700587084149,0.5132743362831859
whale_volume,expanding_top1_primary,16,1897080,0,1,465,188,119,724,0.4043010752688172,0.6329787234042553
whale_volume,expanding_top1_primary,16,1897080,1,0,3,0,0,4,0.0,
whale_volume,expanding_top1_primary,16,1897080,1,1,10,0,0,19,0.0,
whale_volume,expanding_top1_primary,16,1897081,0,0,3171,133,54,3319,0.04194260485651214,0.40601503759398494
whale_volume,expanding_top1_primary,16,1897081,0,1,678,352,270,1440,0.5191740412979351,0.7670454545454546
whale_volume,expanding_top1_primary,16,1897081,1,0,6,0,0,6,0.0,
whale_volume,expanding_top1_primary,16,1897081,1,1,23,3,2,39,0.13043478260869565,0.6666666666666666
whale_volume,expanding_top1_primary,17,1897082,0,0,16122,850,362,17486,0.05272298722242898,0.4258823529411765
whale_volume,expanding_top1_primary,17,1897082,0,1,2101,1127,672,5440,0.5364112327463113,0.5962732919254659
whale_volume,expanding_top1_primary,17,1897082,1,0,61,7,5,72,0.11475409836065574,0.7142857142857143
whale_volume,expanding_top1_primary,17,1897082,1,1,91,17,14,379,0.18681318681318682,0.8235294117647058
whale_volume,expanding_top1_primary,17,1897083,0,0,4603,146,60,4682,0.03171844449272214,0.410958904109589
whale_volume,expanding_top1_primary,17,1897083,0,1,963,592,437,1787,0.6147455867082036,0.7381756756756757
whale_volume,expanding_top1_primary,17,1897083,1,0,10,1,1,10,0.1,1.0
whale_volume,expanding_top1_primary,17,1897083,1,1,23,4,4,45,0.17391304347826086,1.0
whale_volume,expanding_top1_primary,17,1897084,0,0,3855,157,79,3990,0.04072632944228275,0.5031847133757962
whale_volume,expanding_top1_primary,17,1897084,0,1,769,468,292,1455,0.6085825747724317,0.6239316239316239
whale_volume,expanding_top1_primary,17,1897084,1,0,10,1,1,10,0.1,1.0
whale_volume,expanding_top1_primary,17,1897084,1,1,25,2,2,31,0.08,1.0
whale_volume,expanding_top1_primary,18,1897085,0,0,3415,116,62,3566,0.03396778916544656,0.5344827586206896
whale_volume,expanding_top1_primary,18,1897085,0,1,604,312,259,941,0.5165562913907285,0.8301282051282052
whale_volume,expanding_top1_primary,18,1897085,1,0,8,0,0,8,0.0,
whale_volume,expanding_top1_primary,18,1897085,1,1,19,1,0,712,0.05263157894736842,0.0
